source,destination,median_delay_ratio,pct_delayed,volume,median_actual_time,median_osrm_time,is_chronic,delay_volume_score
IND273304AAA,IND273014AAB,2.272727272727273,0.81,100,20.0,12.0,1,227.27272727272728
IND248001AAD,IND131028AAB,1.7272727272727273,0.8625954198473282,131,20.0,11.0,1,226.27272727272728
IND562132AAA,IND518002AAA,1.3114224137931034,0.622093023255814,172,26.0,20.0,1,225.56465517241378
IND151001AAA,IND160002AAC,1.4,0.7329192546583851,161,28.0,21.0,1,225.39999999999998
IND313001AAB,IND306401AAB,1.9047619047619047,0.9322033898305084,118,39.5,20.0,1,224.76190476190476
IND462001AAA,IND462022AAA,4.0,0.9821428571428571,56,28.5,8.0,1,224.0
IND160002AAC,IND143001AAA,1.85,0.9338842975206612,121,30.0,16.0,1,223.85000000000002
IND431136AAC,IND411033AAA,1.719607843137255,0.9769230769230769,130,26.0,17.0,1,223.54901960784315
IND401602AAA,IND401501AAA,7.15090909090909,0.967741935483871,31,83.0,13.0,1,221.6781818181818
IND683511AAA,IND562132AAA,1.3811965811965812,0.69375,160,40.5,30.0,1,220.991452991453
IND302014AAA,IND110037AAM,1.4285714285714286,0.7272727272727273,154,26.0,19.5,1,220.0
IND421302AAG,IND400102AAB,2.230769230769231,0.9693877551020408,98,20.0,11.0,1,218.6153846153846
IND402109AAA,IND402301AAA,1.8333333333333333,0.9327731092436975,119,14.0,7.0,1,218.16666666666666
IND000000ACK,IND501359AAF,2.3166666666666664,0.9787234042553191,94,22.0,9.0,1,217.76666666666665
IND521225AAB,IND501359AAE,1.643181818181818,0.9090909090909091,132,35.0,21.0,1,216.89999999999998
IND518002AAA,IND562132AAA,1.3879928315412187,0.7419354838709677,155,28.0,19.0,1,215.13888888888889
IND421302AAG,IND422011AAD,1.7058823529411764,0.8888888888888888,126,29.0,18.0,1,214.94117647058823
IND160002AAC,IND142001AAB,1.7058823529411764,0.8492063492063492,126,31.0,17.0,1,214.94117647058823
IND573201AAB,IND575004AAB,2.2857142857142856,1.0,94,42.5,20.0,1,214.85714285714283
IND501359AAE,IND523002AAA,1.5,0.7552447552447552,143,34.0,22.0,1,214.5
IND421302AAG,IND395023AAA,2.0,0.9906542056074766,107,38.0,18.0,1,214.0
IND000000ACB,IND000000AEL,1.5454545454545454,0.8333333333333334,138,17.0,10.0,1,213.27272727272728
IND786181AAC,IND786001AAB,2.0,0.8207547169811321,106,19.5,9.0,1,212.0
IND402301AAA,IND402107AAA,1.875,0.9734513274336283,113,14.0,7.0,1,211.875
IND271210AAA,IND271001AAA,2.9375,0.9722222222222222,72,17.5,7.0,1,211.5
IND000000ACB,IND110030AAD,1.5555555555555556,0.7185185185185186,135,12.0,9.0,1,210.0
IND673592AAA,IND562132AAA,1.7567567567567568,0.773109243697479,119,43.0,29.0,1,209.05405405405406
IND400015AAB,IND421302AAG,2.375,0.9204545454545454,88,17.0,7.0,1,209.0
IND000000ABD,IND562132AAA,1.4285714285714286,0.7638888888888888,144,44.5,29.0,1,205.71428571428572
IND431112AAB,IND431136AAC,2.3333333333333335,0.9886363636363636,88,15.0,6.0,1,205.33333333333334
IND431136AAC,IND431203AAA,1.8333333333333333,0.9732142857142857,112,12.0,7.0,1,205.33333333333331
IND382430AAB,IND380005AAA,1.875,0.8888888888888888,108,16.0,9.0,1,202.5
IND742303AAB,IND741165AAB,2.7817460317460316,1.0,72,23.0,8.0,1,200.28571428571428
IND786001AAB,IND786171AAA,2.25,0.8314606741573034,89,16.0,8.0,1,200.25
IND203390AAA,IND201301AAF,2.0,0.97,100,52.5,24.0,1,200.0
IND395009AAA,IND395023AAD,9.5,0.9523809523809523,21,150.0,16.0,1,199.5
IND712311AAA,IND700065AAA,3.4375,1.0,58,40.0,11.0,1,199.375
IND400102AAC,IND421302AAG,2.4545454545454546,0.9382716049382716,81,26.0,9.0,1,198.8181818181818
IND411036AAA,IND411033AAA,2.0,0.9292929292929293,99,22.0,11.0,1,198.0
IND580028AAA,IND403726AAA,2.235294117647059,1.0,87,47.0,19.0,1,194.47058823529412
IND422011AAD,IND421302AAG,1.8333333333333333,0.9245283018867925,106,30.0,18.0,1,194.33333333333331
IND305001AAC,IND306401AAB,1.8856209150326797,0.9805825242718447,103,32.0,17.0,1,194.218954248366
IND560099AAB,IND560058AAB,1.2857142857142858,0.5496688741721855,151,14.0,12.0,1,194.14285714285717
IND501359AAE,IND712311AAA,1.7633053221288515,0.9545454545454546,110,31.0,18.0,1,193.96358543417367
IND421302AAG,IND400072AAA,2.330357142857143,0.9397590361445783,83,19.0,8.0,1,193.41964285714286
IND501359AAE,IND506002AAA,1.7573529411764706,0.9818181818181818,110,30.0,17.0,1,193.30882352941177
IND712310AAE,IND712124AAA,3.2,0.9833333333333333,60,33.5,9.5,1,192.0
IND751002AAB,IND760003AAB,2.0,0.8020833333333334,96,36.0,16.0,1,192.0
IND209304AAA,IND282001AAA,1.9375,0.8787878787878788,99,34.0,17.0,1,191.8125
IND712311AAA,IND700026AAC,2.25,0.9882352941176471,85,30.0,13.0,1,191.25
IND501359AAE,IND515004AAA,1.5147058823529411,0.8492063492063492,126,26.0,17.0,1,190.85294117647058
IND209304AAA,IND209801AAA,2.0,0.8105263157894737,95,16.0,8.0,1,190.0
IND421302AAG,IND413002AAA,1.6774193548387097,0.8761061946902655,113,33.0,18.0,1,189.5483870967742
IND400015AAA,IND400072AAB,2.6666666666666665,0.9577464788732394,71,24.0,10.0,1,189.33333333333331
IND142001AAB,IND152026AAA,1.631578947368421,0.9310344827586207,116,27.0,17.0,1,189.26315789473685
IND847223AAA,IND842001AAA,9.953846153846154,1.0,19,169.0,64.0,1,189.12307692307692
IND600056AAB,IND600110AAA,1.688259109311741,0.8928571428571429,112,18.0,11.0,1,189.085020242915
IND244221AAA,IND131028AAB,1.5,0.816,125,32.0,22.0,1,187.5
IND424006AAA,IND421302AAG,1.9511904761904761,0.9583333333333334,96,33.5,17.0,1,187.31428571428572
IND131028AAB,IND136118AAA,1.8348214285714286,0.9901960784313726,102,31.0,16.0,1,187.15178571428572
