hub_id,city,state,betweenness,in_degree,out_degree,degree,clustering,pagerank,closeness,avg_outgoing_delay,avg_incoming_delay,total_volume,norm_betweenness,norm_delay,norm_volume,norm_in_degree,norm_pagerank,bottleneck_score
IND638501AAB,Anthiyour_TherSRT_D,Tamil Nadu,0.0,1,1,2,0.0,0.0005256360839922818,0.0023291925465838506,1.3333333333333333,1.2,95,0.0,0.06500331223522993,0.002439150967875863,0.022222222222222223,0.0424932348593976,0.023210203960544636
IND344022AAB,Balotra_BsnoiHPL_D,Rajasthan,0.0015492447129909367,1,2,3,0.6666666666666666,0.00027450457047912256,0.0929315885512958,1.344485294117647,1.4833333333333334,63,0.0070051582444483305,0.06620643297316253,0.0016088017022159945,0.022222222222222223,0.01624289944835173,0.02317168613634814
IND502110AAA,Medak_Dwaraka_D,Telangana,0.0003891238670694864,1,1,2,0.0,0.0005879898954603262,0.07473031565348898,1.2857142857142858,1.5788177339901477,76,0.001759485924112607,0.059865967796961975,0.0019461310913903161,0.022222222222222223,0.049010969102684904,0.02309485737344868
IND122004AAA,Gurgaon_Begumpur_CP,Haryana,0.0,0,2,2,0.0,0.00011911212088054774,0.0,1.5505050505050506,1.0,175,0.0,0.08843271641581567,0.004515024132025533,0.0,0.0,0.023011183930359023
IND360510AAB,Bhanvad_Mainroad_D,Gujarat,1.691842900302115e-05,1,1,2,0.0,0.0005092118501744107,0.0017391304347826088,1.3333333333333333,1.5,78,7.649938800489597e-05,0.06500331223522993,0.001998027920494058,0.022222222222222223,0.04077643858577514,0.02297707450950774
IND176310AAA,Chamba_Bangotu_D,Himachal Pradesh,2.4169184290030213e-06,1,1,2,1.0,0.000862173244436877,0.0010869565217391304,1.2,1.335704291044776,49,1.0928484000699424e-05,0.050618747808079616,0.0012455238984898022,0.022222222222222223,0.07767087233056537,0.02289692615639687
IND333042AAA,Nawalgarh_NavldiDPP_D,Rajasthan,0.0,1,1,2,1.0,0.0003372108236643724,0.09220860879348751,1.4,1.6181818181818182,67,0.0,0.07219559444880508,0.001712595360423478,0.022222222222222223,0.022797473804455064,0.022893387286953695
IND307001AAA,Sirohi_Ricco_D,Rajasthan,0.0011673716012084593,1,1,2,0.0,0.0004893329904561149,0.08179774834381312,1.2826797385620914,1.2404092071611252,10,0.005278457772337822,0.05953858800432722,0.00023353573096683791,0.022222222222222223,0.038698536342865075,0.02287089022410214
IND360311AAA,Gondal_DC,Gujarat,1.2084592145015106e-06,1,1,2,0.0,0.00022036610271954817,0.0006038647342995169,1.4545454545454546,1.8452380952380953,13,5.464242000349712e-06,0.07808018898718476,0.00031138097462245055,0.022222222222222223,0.010583900633555623,0.02286484821199859
IND636705AAB,Dharmapuri_Central_D_2,Tamil Nadu,0.0,2,2,4,0.3333333333333333,0.0003494303218524755,0.09813448731891994,1.3110240334378265,1.4420454545454546,62,0.0,0.06259649052269341,0.0015828532876641238,0.044444444444444446,0.024074756458093698,0.022817613378459993
IND628613AAA,Peikulam_SriVnktpm_D,Tamil Nadu,8.476166835180936e-06,1,1,2,0.0,0.0004803960125577065,0.001138052768487551,1.3333333333333333,1.1578947368421053,99,3.832634669583966e-05,0.06500331223522993,0.0025429446260833463,0.022222222222222223,0.03776436976172818,0.022771490403762733
IND312601AAA,Nimbahera_MsjidDPP_D,Rajasthan,0.0007770392749244713,1,1,2,0.0,0.0005284717159309897,0.09396065358118307,1.282051282051282,1.6875,24,0.0035135076062248645,0.05947078745555672,0.0005968135346930303,0.022222222222222223,0.04278963847856926,0.02271797330308564
IND814101AAB,Dumka_Dudhani_D,Jharkhand,0.0003891238670694864,1,1,2,0.0,0.0004105523216221996,0.09696212362156367,1.3333333333333333,1.03125,80,0.001759485924112607,0.06500331223522993,0.0020499247495977995,0.022222222222222223,0.030463731591097273,0.022545228463498403
IND335701AAA,Anupgarh_PrmNrDPP_D,Rajasthan,0.0017242945104710933,2,1,3,0.3333333333333333,0.0008544088600852173,0.08965125633445334,1.0,1.0833333333333333,81,0.00779667395641081,0.029041901167354157,0.0020758731641496706,0.044444444444444446,0.07685927489048279,0.02253485774290498
IND000000ACS,BLR_HSR_Layout_PC,Karnataka,0.0,4,0,4,0.5,0.0007127551454631269,0.13752330725398734,1.0,3.038715277777778,25,0.0,0.029041901167354157,0.0006227619492449011,0.08888888888888889,0.062052461245186936,0.022479162695095103
IND501218AAC,Shamshabad_Lngrguda_D,Telangana,0.0,2,0,2,1.0,0.0011437836008743344,0.13384306907201257,1.0,3.871345029239766,13,0.0,0.029041901167354157,0.00031138097462245055,0.044444444444444446,0.10710710758552504,0.022477906689759977
IND505001AAA,Karimnagar_DC,Telangana,0.0,0,2,2,1.0,0.00011911212088054774,0.0,1.5558441558441558,1.0,20,0.0,0.08900872170131842,0.0004930198764855467,0.0,0.0,0.022350784400626714
IND345021AAA,Pokhran_SttinDPP_D,Rajasthan,0.0,2,1,3,1.0,0.00026659184182079303,0.07286351619922539,1.3229166666666665,1.2302631578947367,71,0.0,0.0638795181393588,0.0018163890186309616,0.044444444444444446,0.01541579583880469,0.022319181366890806
IND690548AAA,Haripad_Kumrpurm_D,Kerala,0.00039111455539477745,2,1,3,0.3333333333333333,0.0004595139273805052,0.08663935979701635,1.2222222222222223,1.5928030303030303,68,0.0017684871403937442,0.05301617521260468,0.001738543774975349,0.044444444444444446,0.03558160212609714,0.022223327714338208
IND816107AAA,Pakur_Hatpada_D,Jharkhand,0.0,1,1,2,0.0,0.0004682926344285284,0.0847565623166472,1.3141447368421053,1.3333333333333333,108,0.0,0.06293316521651998,0.002776480357050184,0.022222222222222223,0.036499224933614065,0.022160732091123663
